VIDEO Video URL,VIDEO Published Date,FACEBOOK FB Video Complete Views 30s Organic,FACEBOOK FB Video Complete Views 30s Paid,FACEBOOK FB Video Complete Views 30s Total,FACEBOOK FB Video Complete Views Organic,FACEBOOK FB Video Complete Views Paid,FACEBOOK FB Video Complete Views Total,FACEBOOK FB Video Views Organic,FACEBOOK FB Video Views Paid,FACEBOOK FB Video Views Total,FACEBOOK Post Shares,FACEBOOK Post Reach,FACEBOOK Post Fan Reach,FACEBOOK Post Likes,FACEBOOK Post Comments,FACEBOOK Post Negative Feedback: Total,Targeted?,Repost?,Bug?
https://www.facebook.com/Upworthy/posts/1055990941108430,7/21/2015,434029,2,434031,204355,2,204357,1663668,3,1663671,29691,5352206,1579037,95009,9244,2597,Y,N,N
https://www.facebook.com/Upworthy/posts/1052745514766306,7/17/2015,304538,0,304538,188517,0,188517,848091,0,848091,7706,3067904,1731584,13472,1691,1384,Y,N,N
https://www.facebook.com/Upworthy/posts/1052328791474645,7/15/2015,109002,2,109004,97287,2,97289,261283,2,261285,679,1681920,1289728,3102,466,654,Y,N,N
https://www.facebook.com/Upworthy/posts/1051147764926081,7/13/2015,10055,0,10055,6143,0,6143,51409,0,51409,164,692992,466432,1102,118,347,Y,N,N
https://www.facebook.com/Upworthy/posts/1048906281816896,7/10/2015,656750,0,656750,310461,0,310461,2483531,0,2483531,35613,6282325,1207945,79356,14088,2306,Y,N,N
https://www.facebook.com/Upworthy/posts/1047639465276911,7/9/2015,81157,0,81157,22687,0,22687,443805,0,443805,4370,1692160,1096192,8847,1721,889,Y,N,N
https://www.facebook.com/Upworthy/posts/1048399345200923,7/8/2015,524530,0,524530,155450,0,155450,1286196,0,1286196,22965,4147554,1369088,54638,4861,1747,Y,N,N
https://www.facebook.com/Upworthy/posts/1042745782432946,7/8/2015,154601,0,154601,70297,0,70297,553739,0,553739,11458,3254272,1134592,28234,4633,1304,N,N,N
https://www.facebook.com/Upworthy/posts/1046922968681894,7/7/2015,67041,0,67041,28333,0,28333,356135,0,356135,4923,1945600,1020928,10113,1220,1236,Y,N,N
https://www.facebook.com/Upworthy/posts/1046676715373186,7/6/2015,485237,0,485237,268097,0,268097,1952042,0,1952042,29762,5162345,1990656,122328,6664,3546,Y,N,N
https://www.facebook.com/Upworthy/posts/1042972302410294,7/1/2015,1074950,25370,1100320,483153,10119,493272,4478801,118721,4597522,90227,14072608,2509268,261119,44693,9941,Y,N,N
https://www.facebook.com/Upworthy/posts/1042774119096779,6/30/2015,397070,0,397070,102412,0,102412,895210,0,895210,15339,4397056,1546240,15732,7924,1575,Y,N,N
https://www.facebook.com/Upworthy/posts/1039350839439107,6/29/2015,177362,0,177362,76103,0,76103,776436,0,776436,13591,4947968,1673216,23814,3199,2065,N,N,N
https://www.facebook.com/Upworthy/posts/1042249112482613,6/29/2015,39477,0,39477,21543,0,21543,276331,0,276331,1588,1754112,953856,8122,485,806,Y,N,N
https://www.facebook.com/Upworthy/posts/1040476272659897,6/28/2015,21393,0,21393,9111,0,9111,217867,0,217867,2366,1616896,826880,8429,562,837,Y,N,N
https://www.facebook.com/Upworthy/posts/1040476042659920,6/27/2015,103796,0,103796,9695,0,9695,476493,0,476493,5050,3102720,1160192,20378,2973,2467,Y,N,N
https://www.facebook.com/Upworthy/posts/1039702536070604,6/25/2015,122851,0,122851,66516,0,66516,687208,1,687209,15595,3140012,1376256,26379,4303,1840,Y,N,N
